taxonID	identifier	datasetID	datasetName	acceptedNameUsageID	parentNameUsageID	taxonomicStatus	taxonRank	verbatimTaxonRank	scientificName	kingdom	phylum	class	order	superfamily	family	genericName	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	source	namePublishedIn	nameAccordingTo	modified	description	taxonConceptID	scientificNameID	references	isExtinct
54115096	f5950556e578afe0332ef6a18360dd97	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54830341	accepted name	species	NA	Cephalomanes atrovirens Presl	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Cephalomanes	Cephalomanes	NA	atrovirens	NA	Presl	NA	NA	Hassler M.	Nov 2018	Binomial generated by Species 2000.	NA	ferns-1911-colgen	http://www.catalogueoflife.org/col/details/species/id/f5950556e578afe0332ef6a18360dd97	FALSE
54133783	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115097	NA	synonym	species	NA	Trichomanes crassum Copel.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Cephalomanes	NA	crassum	NA	Copel.	NA	NA	NA	NA	NA	NA	ferns-1915-syn-1	http://www.catalogueoflife.org/col/details/species/id/bb5e2f017639f8fb9de177cdc22b608b/synonym/1f4444a9675c523ea6e540b155f8b6a3	NA
54115097	bb5e2f017639f8fb9de177cdc22b608b	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54830341	accepted name	species	NA	Cephalomanes crassum (Copel.) M. G. Price	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Cephalomanes	Cephalomanes	NA	crassum	NA	(Copel.) M. G. Price	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-1915	http://www.catalogueoflife.org/col/details/species/id/bb5e2f017639f8fb9de177cdc22b608b	FALSE
54133784	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115098	NA	synonym	species	NA	Trichomanes densinervium Copel.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Cephalomanes	NA	densinervium	NA	Copel.	NA	NA	NA	NA	NA	NA	ferns-1916-syn-1	http://www.catalogueoflife.org/col/details/species/id/002e095eec0c09b395fac0861f0115c1/synonym/975f117a821475b34ada9a587c1f8114	NA
54115098	002e095eec0c09b395fac0861f0115c1	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54830341	accepted name	species	NA	Cephalomanes densinervium (Copel.) Copel.	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Cephalomanes	Cephalomanes	NA	densinervium	NA	(Copel.) Copel.	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-1916	http://www.catalogueoflife.org/col/details/species/id/002e095eec0c09b395fac0861f0115c1	FALSE
54133785	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115099	NA	synonym	species	NA	Trichomanes infundibulare Alderw.	Plantae	NA	NA	NA	NA	NA	Trichomanes	Cephalomanes	NA	infundibulare	NA	Alderw.	NA	NA	NA	NA	NA	NA	ferns-1917-syn-1	http://www.catalogueoflife.org/col/details/species/id/4bd27cdc1fd267d47b523052e94a7c9c/synonym/e0ffa2c818e9caccb72a448f575dbcf8	NA
54115099	4bd27cdc1fd267d47b523052e94a7c9c	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	NA	54830341	provisionally accepted name	species	NA	Cephalomanes infundibulare (Alderw.) comb. ined.	Plantae	Tracheophyta	Polypodiopsida	Hymenophyllales	NA	Hymenophyllaceae	Cephalomanes	Cephalomanes	NA	infundibulare	NA	(Alderw.) comb. ined.	NA	NA	Hassler M.	Nov 2018	NA	NA	ferns-1917	http://www.catalogueoflife.org/col/details/species/id/4bd27cdc1fd267d47b523052e94a7c9c	FALSE
54133786	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115100	NA	synonym	species	NA	Cephalomanes curvatum (J. Sm.) V. D. Bosch	Plantae	NA	NA	NA	NA	NA	Cephalomanes	Cephalomanes	NA	curvatum	NA	(J. Sm.) v. d. Bosch	NA	NA	NA	NA	NA	NA	ferns-1918-syn-1	http://www.catalogueoflife.org/col/details/species/id/ce5c3cddbe4fe1ba99063fab72479f12/synonym/6c3bd72399e6030aa571537c33bbd449	NA
54133787	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115100	NA	synonym	species	NA	Cephalomanes javanica (Bl.) V. D. Bosch	Plantae	NA	NA	NA	NA	NA	Cephalomanes	Cephalomanes	NA	javanica	NA	(Bl.) v. d. Bosch	NA	NA	NA	NA	NA	NA	ferns-1918-syn-2	http://www.catalogueoflife.org/col/details/species/id/ce5c3cddbe4fe1ba99063fab72479f12/synonym/c61570819acdbee3e05a8332ee06c7b9	NA
54133788	NA	140	World Ferns in Species 2000 & ITIS Catalogue of Life: 2019	54115100	NA	synonym	species	NA	Cephalomanes oblongifolium Presl	Plantae	NA	NA	NA	NA	NA	Cephalomanes	Cephalomanes	NA	oblongifolium	NA	Presl	NA	NA	NA	NA	NA	NA	ferns-1918-syn-3	http://www.catalogueoflife.org/col/details/species/id/ce5c3cddbe4fe1ba99063fab72479f12/synonym/307f9f587d2ae60c4ab5647308529c58	NA
